Run,Step,InCave,InMarket,InTown,Update,CurrentState
13,14,1,0,0,toCave,2
14,0,0,0,0,toMarket,0
14,1,0,0,0,toMarket,0
14,2,0,1,0,toMarket,1
14,3,0,0,0,toMarket,4
14,4,0,0,1,toTown,4
14,5,0,1,1,toTown,5
14,6,0,1,1,toCave,6
14,7,0,0,1,toCave,2
14,8,1,0,1,toCave,2
14,9,1,0,0,toCave,2
14,10,1,0,0,toCave,2
14,11,1,0,0,toCave,2
14,12,1,0,0,toCave,2
14,13,1,0,0,toCave,2
14,14,1,0,0,toCave,2
15,0,0,0,0,toMarket,0
15,1,0,0,0,toMarket,0
15,2,0,1,1,toMarket,1
15,3,0,1,1,toMarket,5
15,4,0,0,0,toCave,6
15,5,0,1,1,toCave,2
15,6,0,0,0,toCave,2
15,7,1,0,0,toCave,2
15,8,1,0,0,toCave,2
15,9,1,0,0,toCave,2
15,10,0,0,0,toCave,2
15,11,0,0,0,toCave,2
15,12,0,0,0,toCave,2
15,13,0,0,0,toCave,2
15,14,1,0,0,toCave,2
15,0,0,0,0,toMarket,0
16,1,0,0,0,toMarket,0
16,2,0,0,0,toMarket,1
16,3,0,0,0,toTown,3
16,4,0,1,1,toMarket,3
16,5,0,1,1,toMarket,5
16,6,0,1,1,toCave,6
16,7,0,1,1,toCave,2
16,8,1,1,0,toCave,2
16,9,1,0,0,toCave,2
16,10,1,0,0,toCave,2
16,11,0,0,0,toCave,2
16,12,0,0,0,toCave,2
16,13,1,0,0,toCave,2
16,14,1,0,0,toCave,2
17,0,0,0,0,toMarket,0
17,1,0,0,0,toMarket,0
17,2,0,1,0,toMarket,1
17,3,0,0,0,toMarket,4
17,4,0,0,0,toTown,4
17,5,0,0,0,toTown,4
17,6,0,0,0,toTown,4
17,7,0,1,1,toTown,4
17,8,0,1,1,toTown,5
17,9,0,0,1,toCave,6
17,10,0,0,0,toCave,2
17,11,1,0,0,toCave,2
17,12,1,0,0,toCave,2
17,13,1,0,0,toCave,2
17,14,1,0,0,toCave,2
17,0,0,0,0,toMarket,0
18,1,0,0,0,toMarket,0
18,2,0,0,0,toMarket,1
18,3,0,0,0,toTown,3
18,4,0,1,0,toMarket,3
18,5,0,1,1,toMarket,4
18,6,0,1,1,toMarket,5
18,7,0,1,1,toCave,6
18,8,0,0,0,toCave,2
18,9,1,0,0,toCave,2
18,10,1,0,0,toCave,2
18,11,1,0,0,toCave,2
18,12,0,0,0,toCave,2
18,13,1,0,0,toCave,2
18,14,1,0,0,toCave,2
19,0,0,0,0,toMarket,0
19,1,0,0,0,toMarket,0
19,2,0,1,0,toMarket,1
19,3,0,1,1,toMarket,4
19,4,0,1,1,toMarket,5
19,5,1,1,1,toCave,6
19,6,1,0,0,toCave,7
19,7,1,0,0,toCave,2
19,8,1,0,0,toCave,2
19,9,1,0,0,toCave,2
19,10,1,0,0,toCave,2
19,11,0,0,0,toCave,2
19,12,1,0,0,toCave,2
19,13,1,0,0,toCave,2
19,14,1,0,0,toCave,2
20,0,0,0,0,toMarket,0
20,1,0,0,0,toMarket,0
20,2,0,1,1,toMarket,1
20,3,0,0,0,toMarket,5
20,4,0,0,0,toCave,6
20,5,1,0,0,toCave,2
20,6,1,0,0,toCave,2
20,7,1,0,0,toCave,2
20,8,1,0,0,toCave,2
20,9,1,0,0,toCave,2
20,10,1,0,0,toCave,2
20,11,1,0,0,toCave,2
20,12,1,0,0,toCave,2
20,13,0,0,0,toCave,2
20,14,0,0,0,toCave,2
21,0,0,0,0,toMarket,0
21,1,0,0,0,toMarket,0
21,2,0,1,0,toMarket,1
21,3,0,1,0,toMarket,4
21,4,0,1,0,toTown,4
21,5,0,0,0,toTown,4
21,6,0,0,0,toTown,4
21,7,0,0,0,toTown,4
21,8,0,0,0,toTown,4
21,9,1,0,0,toTown,4
21,10,0,0,0,toTown,2
21,11,0,0,0,toTown,2
21,12,0,0,1,toTown,2
21,13,0,0,1,toTown,2
21,14,0,0,0,toTown,2
22,0,0,0,0,toMarket,0
22,1,0,0,0,toMarket,0
22,2,0,1,1,toMarket,1
22,3,0,1,0,toMarket,5
22,4,0,0,0,toCave,6
22,5,1,0,0,toCave,2
22,6,1,0,0,toCave,2
22,7,0,0,0,toCave,2
22,8,1,0,0,toCave,2
22,9,0,0,0,toCave,2
22,10,0,0,0,toCave,2
22,11,0,0,0,toCave,2
22,12,0,0,0,toCave,2
22,13,1,0,0,toCave,2
22,14,1,0,0,toCave,2
23,0,0,0,0,toMarket,0
23,1,0,0,0,toMarket,0
23,2,0,0,1,toMarket,1
23,3,0,0,1,toMarket,8
23,4,0,1,1,toMarket,8
23,5,0,0,0,toMarket,5
23,6,0,0,1,toCave,6
23,7,1,0,0,toCave,2
23,8,1,0,0,toCave,2
23,9,1,0,0,toCave,2
23,10,0,0,0,toCave,2
23,11,1,0,0,toCave,2
23,12,1,0,0,toCave,2
23,13,1,0,0,toCave,2
23,14,0,0,0,toCave,2
24,0,0,0,0,toMarket,0
24,1,0,0,0,toMarket,0
24,2,0,1,1,toMarket,1
24,3,0,0,0,toMarket,5
24,4,0,0,0,toCave,6
24,5,1,0,0,toCave,2
24,6,1,0,0,toCave,2
24,7,1,0,0,toCave,2
24,8,1,0,0,toCave,2
24,9,1,0,0,toCave,2
24,10,1,0,0,toCave,2
24,11,1,0,0,toCave,2
24,12,1,0,0,toCave,2
24,13,1,0,0,toCave,2
24,14,1,0,0,toCave,2
25,0,0,0,0,toMarket,0
25,1,0,0,0,toMarket,0
25,2,0,1,1,toMarket,1
25,3,0,1,1,toMarket,5
25,4,0,1,0,toCave,6
25,5,1,0,0,toCave,2
25,6,1,0,0,toCave,2
