Run,Step,InCave,InTown,InCave,InForest,Update,CurrentState,SafeChoice,SafeCount
13,1,0,0,1,1,toTown,3,0,0
13,2,0,0,1,0,toTown,8,0,0
13,3,0,1,0,0,toMarket,8,0,0
13,4,0,0,0,0,toMarket,5,0,0
13,5,1,0,0,0,toCave,6,0,0
13,6,1,0,0,0,toTown,7,0,0
13,7,1,1,1,0,toTown,2,0,0
13,8,1,0,0,0,toTown,2,0,0
13,9,1,0,0,0,toTown,2,0,0
13,10,1,0,0,0,toTown,2,0,0
13,11,1,0,0,0,toTown,2,0,0
13,12,1,0,0,0,toTown,2,0,0
14,0,0,0,0,1,toForest,1,0,0
14,1,0,0,0,1,toTown,3,0,0
14,2,0,1,1,1,toMarket,3,0,0
14,3,0,1,1,0,toTown,5,0,0
14,4,1,1,1,0,toCave,6,0,0
14,5,1,0,1,1,toTown,5,0,0
14,6,1,0,0,0,toTown,2,0,0
14,7,1,0,0,0,toTown,2,0,0
14,8,1,0,0,0,toTown,2,0,0
15,0,0,0,1,1,toForest,1,0,0
15,1,0,0,0,1,toTown,8,0,0
15,2,0,1,0,1,toMarket,8,0,0
15,3,0,1,0,1,toMarket,5,0,0
15,4,1,0,0,0,toCave,6,0,0
15,5,1,0,0,0,toTown,7,0,0
15,6,1,0,0,0,toTown,2,0,0
15,7,1,0,0,0,toTown,2,0,0
15,8,1,0,0,0,toTown,2,0,0
16,0,0,0,0,1,toForest,1,0,0
16,1,0,0,1,0,toTown,3,0,0
16,2,0,0,0,0,toTown,8,0,0
16,3,0,1,1,0,toMarket,8,0,0
16,4,0,1,1,0,toTown,5,0,0
16,5,1,0,0,0,toCave,6,0,0
16,6,1,0,0,0,toTown,7,0,0
16,7,1,0,0,0,toTown,2,0,0
16,8,1,0,1,0,toTown,2,0,0
16,9,1,0,1,0,toTown,2,0,0
16,10,1,0,1,0,toTown,2,0,0
17,0,0,0,0,1,toForest,1,0,0
17,1,0,0,1,0,toTown,3,0,0
17,2,0,0,1,0,toTown,8,0,0
17,3,0,0,0,0,toMarket,8,0,0
17,4,0,0,1,0,toMarket,8,0,0
17,5,0,1,1,0,toMarket,8,0,0
17,6,0,1,1,0,toTown,5,0,0
17,7,1,0,0,0,toCave,6,0,0
17,8,1,0,1,0,toTown,7,0,0
17,9,1,0,1,0,toTown,2,0,0
17,10,1,0,0,0,toTown,2,0,0
17,11,1,0,0,0,toTown,2,0,0
17,12,1,0,0,0,toTown,2,0,0
17,13,1,0,1,0,toTown,2,0,0
17,14,1,0,1,0,toTown,2,0,0
18,0,0,0,0,1,toForest,1,0,0
18,1,0,0,0,1,toTown,3,0,0
18,2,0,1,1,1,toMarket,3,0,0
18,3,0,1,1,0,toTown,5,0,0
18,4,1,1,1,0,toCave,6,0,0
18,5,1,0,0,1,toTown,5,0,0
18,6,1,0,1,0,toTown,2,0,0
18,7,1,0,1,0,toTown,2,0,0
18,8,1,0,1,0,toTown,2,0,0
18,9,1,0,1,0,toTown,2,0,0
19,0,0,0,0,1,toForest,1,0,0
19,1,0,0,0,1,toTown,3,0,0
19,2,0,0,0,1,toMarket,3,0,0
19,3,0,0,0,1,toMarket,3,0,0
19,4,0,1,0,0,toMarket,3,0,0
20,5,0,1,1,0,toTown,4,0,0
20,6,0,0,1,0,toTown,5,0,0
20,7,1,0,1,1,toCave,6,0,0
20,8,1,0,0,0,toTown,8,0,0
20,9,1,0,1,0,toTown,2,0,0
20,10,1,0,1,0,toTown,2,0,0
20,11,1,0,1,0,toTown,2,0,0
20,12,1,0,0,0,toTown,2,0,0
20,13,1,0,1,0,toTown,2,0,0
20,14,1,0,1,0,toTown,2,0,0
21,0,0,0,0,1,toForest,1,0,0
21,1,0,0,1,1,toTown,3,0,0
21,2,0,0,0,1,toTown,8,0,0
21,3,0,1,1,1,toMarket,8,0,0
21,4,0,1,1,0,toTown,5,0,0
21,5,1,0,0,1,toCave,6,0,0
21,6,1,0,0,0,toTown,7,0,0
21,7,1,0,0,0,toTown,2,0,0
21,8,1,0,0,0,toTown,2,0,0
22,0,0,0,0,1,toForest,1,0,0
22,1,0,0,1,1,toTown,3,0,0
22,2,0,0,1,0,toTown,8,0,0
22,3,0,1,1,1,toMarket,8,0,0
22,4,0,0,1,1,toTown,5,0,0
22,5,1,0,0,1,toCave,6,0,0
22,6,1,0,0,0,toTown,7,0,0
22,7,1,0,0,0,toTown,2,0,0
22,8,1,0,0,0,toTown,2,0,0
22,9,1,0,1,0,toTown,2,0,0
22,10,1,0,1,0,toTown,2,0,0
22,11,1,0,1,0,toTown,2,0,0
22,12,1,0,0,1,toTown,2,0,0
22,13,1,0,0,1,toTown,2,0,0
22,14,1,0,0,1,toTown,2,0,0
23,0,0,0,0,1,toForest,1,0,0
23,1,0,0,0,1,toTown,3,0,0
23,2,0,1,1,1,toMarket,3,0,0
23,3,0,1,1,0,toTown,5,0,0
23,4,1,0,0,0,toCave,6,0,0
23,5,1,0,0,0,toTown,7,0,0
23,6,1,0,0,0,toTown,2,0,0
23,7,1,0,0,0,toTown,2,0,0
23,8,1,0,1,0,toTown,2,0,0
24,0,0,0,0,1,toForest,1,0,0
24,1,0,0,1,1,toTown,3,0,0
24,2,0,0,0,1,toTown,8,0,0
24,3,0,0,0,1,toMarket,8,0,0
24,4,0,0,0,1,toMarket,8,0,0
24,5,0,1,1,0,toMarket,8,0,0
24,6,0,0,1,1,toTown,5,0,0
24,7,1,0,1,0,toCave,6,0,0
24,8,1,0,0,0,toTown,8,0,0
24,9,1,0,0,0,toTown,2,0,0
24,10,1,0,0,0,toTown,2,0,0
24,11,1,0,1,0,toTown,2,0,0
24,12,1,1,1,0,toTown,2,0,0
24,13,1,0,1,0,toTown,2,0,0
24,14,1,0,1,0,toTown,2,0,0
25,0,0,0,0,1,toForest,1,0,0
25,1,0,1,1,0,toTown,3,0,0
25,2,0,0,1,0,toTown,5,0,0
25,3,1,0,0,1,toCave,6,0,0
25,4,1,0,0,1,toTown,7,0,0
25,5,1,0,0,0,toTown,2,0,0
25,6,1,0,0,0,toTown,2,0,0
25,7,1,0,0,0,toTown,2,0,0
25,8,1,0,1,0,toTown,2,0,0
25,9,1,0,0,1,toTown,2,0,0
26,0,0,0,0,1,toForest,1,0,0
26,1,0,0,1,1,toTown,3,0,0
26,2,0,1,1,1,toTown,8,0,0
26,3,0,0,0,0,toTown,5,0,0
26,4,1,0,1,1,toCave,6,0,0
26,5,1,0,0,0,toTown,8,0,0
26,6,1,0,1,0,toTown,2,0,0
26,7,1,0,1,0,toTown,2,0,0
26,8,1,0,1,0,toTown,2,0,0
26,9,1,0,1,0,toTown,2,0,0
26,10,1,1,1,0,toTown,2,0,0
26,11,1,0,1,0,toTown,2,0,0
27,0,0,0,0,1,toForest,1,0,0
27,1,0,0,0,1,toTown,3,0,0
27,2,0,1,1,0,toMarket,3,0,0
27,3,0,1,0,0,toTown,5,0,0
27,4,1,0,0,0,toCave,6,0,0
27,5,1,0,0,0,toTown,7,0,0
27,6,1,0,0,0,toTown,2,0,0
27,7,1,0,0,0,toTown,2,0,0
27,8,1,0,0,0,toTown,2,0,0
27,9,1,0,1,0,toTown,2,0,0
27,10,1,0,1,0,toTown,2,0,0
27,11,1,0,1,0,toTown,2,0,0
28,0,0,0,0,1,toForest,1,0,0
28,1,0,0,0,0,toTown,3,0,0
28,2,0,1,1,0,toMarket,3,0,0
28,3,0,1,1,0,toTown,5,0,0
28,4,1,1,1,0,toCave,6,0,0
28,5,1,0,0,0,toTown,5,0,0
28,6,1,0,0,0,toTown,2,0,0
28,7,1,0,0,0,toTown,2,0,0
28,8,1,0,0,0,toTown,2,0,0
28,9,1,0,0,0,toTown,2,0,0
28,10,1,1,1,0,toTown,2,0,0
28,11,1,1,1,0,toTown,2,0,0
29,0,0,0,0,1,toForest,1,0,0
29,1,0,0,0,0,toTown,3,0,0
29,2,0,0,0,1,toMarket,3,0,0
29,3,0,1,1,1,toMarket,3,0,0
29,4,0,1,0,1,toTown,5,0,0
29,5,1,0,0,0,toCave,6,0,0
29,6,1,0,0,0,toTown,7,0,0
29,7,1,0,0,0,toTown,2,0,0
29,8,1,0,0,0,toTown,2,0,0
29,9,1,0,0,0,toTown,2,0,0
30,0,0,0,0,1,toForest,1,0,0
30,1,0,0,1,1,toTown,3,0,0
30,2,0,0,0,1,toTown,8,0,0
30,3,0,0,1,1,toMarket,8,0,0
30,4,0,1,1,1,toMarket,8,0,0
30,5,0,1,1,0,toTown,5,0,0
30,6,1,0,0,1,toCave,6,0,0
30,7,1,0,0,0,toTown,7,0,0
30,8,1,0,0,0,toTown,2,0,0
30,9,1,0,0,0,toTown,2,0,0
30,10,1,0,0,0,toTown,2,0,0
30,11,1,0,0,0,toTown,2,0,0
30,12,1,0,1,0,toTown,2,0,0
30,13,1,0,1,0,toTown,2,0,0
30,14,1,0,1,0,toTown,2,0,0
31,0,0,0,0,1,toForest,1,0,0
31,1,1,0,0,0,toTown,3,0,0
31,2,1,0,1,0,toTown,2,0,0
31,3,1,0,1,0,toTown,2,0,0
31,4,1,0,1,0,toTown,2,0,0
31,5,1,0,0,1,toTown,2,0,0
31,6,1,0,0,1,toTown,2,0,0
31,7,1,0,1,0,toTown,2,0,0
31,8,1,1,1,0,toTown,2,0,0
31,9,1,0,1,0,toTown,2,0,0
31,10,1,0,0,0,toTown,2,0,0
32,0,0,0,0,1,toForest,1,0,0
32,1,0,0,0,1,toTown,3,0,0
32,2,0,0,0,1,toMarket,3,0,0
32,3,0,1,1,1,toMarket,3,0,0
32,4,0,0,1,0,toTown,5,0,0
32,5,1,0,0,0,toCave,6,0,0
32,6,1,0,0,0,toTown,7,0,0
32,7,1,0,0,0,toTown,2,0,0
32,8,1,0,0,0,toTown,2,0,0
32,9,1,0,0,0,toTown,2,0,0
32,10,1,0,0,0,toTown,2,0,0
32,11,1,0,0,0,toTown,2,0,0
