Run,Step,InCave,InMarket,InTown,Update,CurrentState,SafeChoice,SafeCount
11,0,0,0,0,toMarket,0,0,0
11,1,0,0,0,toMarket,0,0,0
11,2,0,1,1,toMarket,0,0,0
11,3,1,1,1,toMarket,0,0,0
11,4,1,0,0,toMarket,0,0,0
11,5,0,0,0,toMarket,0,1,0
11,6,1,0,0,toMarket,0,0,0
11,7,1,0,0,toMarket,0,0,0
11,8,1,0,0,toMarket,0,0,0
11,9,1,0,0,toMarket,0,1,0
11,10,1,0,0,toMarket,0,0,0
11,11,1,0,0,toMarket,0,0,0
11,12,1,0,0,toMarket,0,0,0
11,13,1,0,0,toMarket,0,0,0
11,14,1,0,0,toMarket,0,0,0
12,0,0,0,0,toMarket,0,0,0
12,1,0,0,0,toMarket,0,0,0
12,2,0,0,0,toMarket,0,0,0
12,3,0,0,0,toMarket,0,0,0
12,4,0,0,0,toMarket,0,0,0
12,5,1,0,0,toMarket,0,0,0
12,6,1,0,0,toMarket,0,1,0
12,7,1,0,0,toMarket,0,0,0
12,8,1,0,0,toMarket,0,0,0
12,9,1,0,0,toMarket,0,1,0
12,10,1,0,0,toMarket,0,0,0
12,11,1,0,0,toMarket,0,1,0
12,12,1,0,0,toMarket,0,0,0
12,13,1,0,0,toMarket,0,0,0
12,14,1,0,0,toMarket,0,1,0
13,0,0,0,0,toMarket,0,0,0
13,1,0,0,0,toMarket,0,0,0
13,2,0,0,0,toMarket,0,1,0
13,3,1,0,0,toMarket,0,0,0
13,4,1,0,0,toMarket,0,0,0
13,5,1,0,0,toMarket,0,0,0
13,6,1,0,0,toMarket,0,0,0
13,7,0,0,0,toMarket,0,0,1
13,8,0,1,1,toMarket,0,0,1
13,9,1,0,1,toMarket,0,1,1
13,10,1,0,0,toMarket,0,1,1
13,11,0,1,1,toMarket,0,1,2
13,12,0,0,1,toMarket,0,1,2
13,13,0,1,1,toMarket,0,0,3
13,14,0,1,1,toMarket,0,0,3
14,0,0,0,0,toMarket,0,0,0
14,1,0,0,0,toMarket,0,1,0
14,2,0,0,0,toMarket,0,1,0
14,3,0,0,0,toMarket,0,1,0
14,4,0,0,0,toMarket,0,1,1
14,5,0,0,0,toMarket,0,1,1
14,6,0,0,0,toMarket,0,0,1
14,7,0,1,1,toMarket,0,0,1
14,8,0,1,1,toMarket,0,0,1
14,9,0,1,1,toMarket,0,0,2
14,10,0,0,0,toMarket,0,0,2
14,11,0,0,0,toMarket,0,0,2
14,12,0,0,0,toMarket,0,0,2
14,13,1,0,0,toMarket,0,0,2
14,14,1,1,1,toMarket,0,0,2
15,0,0,0,0,toMarket,0,0,0
15,1,0,0,0,toMarket,0,0,0
15,2,0,0,0,toMarket,0,0,0
15,3,0,0,0,toMarket,0,0,0
15,4,0,1,1,toMarket,0,1,0
15,5,0,1,1,toMarket,0,0,0
15,6,0,1,1,toMarket,0,1,0
15,7,0,1,1,toMarket,0,0,1
15,8,0,0,1,toMarket,0,1,1
15,9,0,1,1,toMarket,0,1,2
15,10,0,1,1,toMarket,0,0,3
15,11,0,1,1,toMarket,0,1,3
15,12,0,0,0,toMarket,0,0,4
15,13,1,0,1,toMarket,0,1,5
15,14,0,0,1,toMarket,0,0,6
16,0,0,0,0,toMarket,0,0,0
16,1,0,0,0,toMarket,0,0,0
16,2,0,0,1,toMarket,0,0,0
16,3,0,0,0,toMarket,0,1,0
16,4,0,1,0,toMarket,0,0,0
16,5,0,1,1,toMarket,0,0,0
16,6,0,1,1,toMarket,0,0,1
16,7,0,1,1,toMarket,0,0,1
16,8,0,0,0,toMarket,0,1,2
16,9,0,0,1,toMarket,0,1,2
16,10,0,1,1,toMarket,0,1,3
16,11,0,1,1,toMarket,0,0,3
16,12,1,0,0,toMarket,0,1,4
16,13,0,0,1,toMarket,0,1,4
16,14,0,1,1,toMarket,0,1,5
17,0,0,0,0,toMarket,0,0,0
17,1,0,0,0,toMarket,0,1,0
17,2,0,0,0,toMarket,0,1,0
17,3,0,0,0,toMarket,0,1,0
17,4,0,0,0,toMarket,0,0,1
17,5,0,0,1,toMarket,0,0,2
17,6,0,0,1,toMarket,0,1,3
17,7,0,0,1,toMarket,0,1,4
17,8,0,0,1,toMarket,0,1,5
17,9,0,0,1,toMarket,0,0,5
17,10,0,0,1,toMarket,0,0,5
17,11,0,1,1,toMarket,0,1,7
17,12,0,1,1,toMarket,0,1,8
17,13,0,1,1,toMarket,0,0,9
17,14,0,0,0,toMarket,0,1,9
18,0,0,0,0,toMarket,0,0,0
18,1,0,0,0,toMarket,0,1,0
18,2,0,0,0,toMarket,0,1,0
18,3,0,0,0,toMarket,0,1,0
18,4,0,0,0,toMarket,0,0,0
18,5,1,0,0,toMarket,0,0,0
18,6,0,1,1,toMarket,0,0,1
18,7,0,1,1,toMarket,0,1,2
18,8,0,1,0,toMarket,0,1,3
18,9,0,1,1,toMarket,0,1,4
18,10,0,1,1,toMarket,0,0,5
18,11,0,0,1,toMarket,0,0,5
18,12,0,0,0,toMarket,0,0,5
18,13,1,0,0,toMarket,0,0,5
18,14,1,0,0,toMarket,0,0,5
19,0,0,0,0,toMarket,0,0,0
19,1,0,0,0,toMarket,0,1,0
19,2,0,0,0,toMarket,0,0,1
19,3,0,1,1,toMarket,0,0,1
19,4,1,0,1,toMarket,0,1,1
19,5,0,0,0,toMarket,0,0,1
19,6,0,0,0,toMarket,0,0,1
19,7,1,0,0,toMarket,0,0,1
19,8,0,0,0,toMarket,0,0,1
19,9,0,0,0,toMarket,0,0,1
